surname,popularity
Merola,2 728
Cini,2 727
Polli,2 726
Filippini,2 719
Sereni,2 719
Delfino,2 718
Spera,2 716
Terzi,2 713
Risi,2 713
Sandri,2 711
Garibaldi,2 707
Trapani,2 707
Lodi,2 706
Gatta,2 705
Totti,2 704
Giudici,2 700
Marzo,2 700
Privitera,2 698
Prati,2 696
Fiorentini,2 691
Frau,2 686
Rossetto,2 685
Belotti,2 684
Fiorentino,2 683
Zucchi,2 683
Di giorgio,2 681
Migliore,2 679
Banfi,2 677
Piscopo,2 675
Pani,2 674
Pasquini,2 673
Morra,2 668
Battista,2 666
Cortesi,2 666
Deiana,2 662
Bandini,2 660
Lotti,2 657
Cappello,2 646
Ragusa,2 643
Perna,2 640
Carminati,2 640
Benetti,2 640
Medici,2 639
Nicolini,2 638
Boschi,2 637
Foglia,2 630
Saba,2 630
Adami,2 629
Capra,2 628
Sanfilippo,2 625
Schiavo,2 623
Lalla,2 623
Ross,2 621
Amoruso,2 615
Della valle,2 614
Paris,2 613
Bonanno,2 609
Santo,2 607
Lorenzetti,2 604
Bortolotti,2 603
Zanni,2 603
Casu,2 601
Lisi,2 601
Piccoli,2 599
Cecchi,2 596
Castagna,2 595
Taddei,2 591
Terranova,2 589
Cerutti,2 586
Musso,2 586
Giuffrida,2 584
Di salvo,2 583
Cinzia,2 582
Castiglione,2 581
Zanon,2 578
Dani,2 577
Manni,2 577
Bosio,2 576
Albertini,2 576
Casa,2 575
Nava,2 575
Broglia,2 571
Ferraris,2 571
Baraldi,2 570
Recchia,2 569
Marcucci,2 568
Merli,2 568
Persico,2 563
Occhipinti,2 561
Prosperi,2 559
Massi,2 556
Meo,2 554
Berto,2 554
Sica,2 553
Vinciguerra,2 551
Santangelo,2 546
Mara,2 544
Secci,2 544
Rodriguez,2 540
Moretto,2 539
Benvenuti,2 538
Bresciani,2 537
Pisu,2 535
Paperino,2 530
Guarnieri,2 529
Cecconi,2 529
Giudice,2 527
Pezzi,2 527
Consoli,2 525
Cataldi,2 524
Spagnolo,2 524
Spadaro,2 522
Vitiello,2 521
Fava,2 518
Peluso,2 518
Del giudice,2 517
De lucia,2 513
Canale,2 513
Tancredi,2 511
Pacini,2 507
Granata,2 506
Giovannetti,2 505
Casanova,2 505
Anselmi,2 505
Marchini,2 503
Simeoni,2 503
Manu,2 495
Bona,2 494
Bonomi,2 493
Ciccarelli,2 492
Veronese,2 492
Sette,2 489
Benini,2 488
Berni,2 487
Ambrosio,2 487
Campagna,2 487
Latino,2 483
Trotta,2 482
Orsi,2 480
Giunta,2 479
Matteucci,2 476
Fiorillo,2 472
Tagliaferri,2 470
Favaro,2 469
Garau,2 469
Ghezzi,2 469
Di francesco,2 467
Angelo,2 465
Di palma,2 462
Di domenico,2 461
Gerardi,2 457
Salis,2 454
Barbera,2 451
Alba,2 449
Lorenzini,2 448
Zaccaria,2 448
Gazzola,2 445
Giacomini,2 442
Bologna,2 440
Ponti,2 436
De giorgi,2 434
Manenti,2 432
Lattanzi,2 431
Salvo,2 429
Visentin,2 429
Signorelli,2 428
Gino,2 427
Derossi,2 426
Beltrami,2 421
Parenti,2 421
Scuderi,2 421
Campanella,2 417
Amoroso,2 416
Lalli,2 415
Marelli,2 415
Spiga,2 412
Nobili,2 410
Lenzi,2 407
Buzzi,2 405
Lilli,2 399
Freddi,2 396
Bellotti,2 394
Paradiso,2 393
Botta,2 390
Latini,2 388
Gargano,2 387
Sabatino,2 387
Musumeci,2 383
De vivo,2 377
Galbiati,2 371
Balducci,2 371
Tomasi,2 370
Biffi,2 369
Ciccone,2 368
Ciotti,2 368
Benassi,2 365
Levi,2 365
Vita,2 365
Pizzo,2 363
Luce,2 362
Pavesi,2 361
Cuccu,2 361
Milazzo,2 360
Marchesini,2 359
La torre,2 359
Corazza,2 358
Silva,2 358
Perin,2 357
Pasquale,2 357
Vella,2 355
Morabito,2 353
Di leo,2 353
Casiraghi,2 350
Giorgetti,2 350
Gandini,2 349
Biagini,2 347
Maestri,2 337
Galasso,2 336
Polito,2 335
Giannelli,2 334
Cervi,2 331
D errico,2 330
Bruschi,2 329
Pirovano,2 329
Errico,2 328
Bergamini,2 327
Callegari,2 326
Fasano,2 325
Nicoli,2 324
Reali,2 324
Milan,2 323
Cavalieri,2 322
Fedeli,2 321
De leo,2 321
Battistini,2 320
Baldo,2 316
Pasqualini,2 315
Angelucci,2 312
Caso,2 312
Prete,2 311
Bergamo,2 309
Coralluzzo,2 308
Sansone,2 306
Alessandrini,2 302
Franzoni,2 301
Rea,2 297
Mancino,2 296
Magri,2 288
Fabrizi,2 284
Colangelo,2 282
Iodice,2 280
Aprile,2 279
Marzano,2 277
Pulvirenti,2 276
Gennari,2 272
Lugli,2 270
Perotti,2 270
Balestra,2 268
Attanasio,2 267
Cavallari,2 267
Perrotta,2 265
Ottolini,2 261
Pascale,2 258
Florio,2 255
Nocera,2 253
Nera,2 252
Quaglia,2 251
Facchini,2 251
Luongo,2 250
Nicosia,2 249
De matteis,2 249
Papini,2 248
Mercurio,2 245
De vita,2 242
Bertoli,2 241
Magno,2 241
Raggi,2 239
Cocchi,2 235
Di napoli,2 233
Zito,2 231
Bolognesi,2 227
Patrizia,2 226
Mangano,2 226
De palma,2 225
Castiglioni,2 223
Radice,2 222
Salvini,2 221
Lazzaro,2 220
Lo presti,2 218
Verga,2 218
Milanesi,2 217
Perez,2 217
Ali,2 217
Renna,2 215
Mercuri,2 214
Valerio,2 212
Pina,2 211
Cinelli,2 211
Gobbo,2 209
Bertozzi,2 208
Bonora,2 192
Titti,2 192
Caracciolo,2 191
Oldani,2 190
Senatore,2 188
De falco,2 187
Iacono,2 186
Gherardi,2 184
Polizzi,2 184
Biondo,2 184
Clementi,2 181
Fabi,2 180
Mini,2 177
Cacciatore,2 174
Migliaccio,2 172
Montagna,2 172
Galante,2 170
Todaro,2 169
Braga,2 167
Cau,2 166
Giacomelli,2 163
Bonini,2 162
Di nardo,2 162
Spagnoli,2 162
Carini,2 159
Pesci,2 158
Cesari,2 157
Chessa,2 156
Maio,2 156
Ricco,2 155
Tempesta,2 155
Miccoli,2 153
Clerici,2 153
Deluca,2 152
Giorgio,2 151
Tassi,2 150
Bosi,2 148
Finocchiaro,2 147
D amore,2 142
Giorgini,2 142
Santamaria,2 137
Resta,2 136
Di rosa,2 135
Botti,2 135
Farinelli,2 134
Battisti,2 132
Coccia,2 128
Fioretti,2 127
Garcia,2 126
Marcelli,2 126
Celentano,2 125
Casale,2 124
Raffaelli,2 124
Polidori,2 123
Barile,2 123
Agnello,2 122
Liberti,2 121
Spagnuolo,2 121
Gorini,2 120
Pierini,2 120
Murru,2 115
Pippa,2 113
Apicella,2 113
Di paolo,2 113
Franci,2 112
Prisco,2 112
Di meo,2 110
Amico,2 106
Calcagno,2 106
Di biase,2 102
Bon,2 101
Celli,2 098
Fabrizio,2 097
Redaelli,2 097
Scalia,2 097
Pignatelli,2 092
Cavallini,2 090
Sola,2 090
Solari,2 089
Morganti,2 088
Tozzi,2 087
Pallo,2 084
Martorana,2 081
Zorzi,2 081
Gozzi,2 080
Lepore,2 080
Zedda,2 079
Meroni,2 077
Casula,2 076
Tomaselli,2 076
Cipolla,2 074
Molino,2 073
Piccirillo,2 067
Ratti,2 064
Masiero,2 064
Paci,2 063
Vincenzi,2 062
Dona,2 061
Lunardi,2 060
Buffa,2 058
Zago,2 058
Gaia,2 056
Cherubini,2 055
Zambelli,2 053
Cazzaniga,2 050
Mazzone,2 050
Maugeri,2 049
Cannata,2 049
Zanini,2 048
Di donato,2 045
Scaglione,2 045
Merlini,2 044
Campisi,2 044
Masala,2 042
Genna,2 041
Sepe,2 041
Zappala,2 040
Lanfranchi,2 040
Piccioni,2 037
Busi,2 037
Cioni,2 036
Di cesare,2 035
Loddo,2 034
Simeone,2 033
Congiu,2 031
Deidda,2 029
Barba,2 023
Mannino,2 023
Gregori,2 023
Lorenzo,2 022
Saracino,2 020
Bertoldi,2 020
Alberto,2 020
Ricca,2 018
Dante,2 014
Zanchi,2 014
Castello,2 013
Rizza,2 012
Fanti,2 011
Petrelli,2 010
Annunziata,2 009
Pecoraro,2 008
Rapisarda,2 006
Minelli,2 006
Galletti,2 006
Montanaro,2 005
Felice,2 004
Spataro,2 003
Caccia,2 001
Capobianco,2 000
Sechi,2 000
Salamone,1 999
Padovani,1 998
Mattia,1 997
Ceci,1 996
Liberati,1 995
Arduini,1 992
Gamba,1 992
De francesco,1 990
Savi,1 988
Guido,1 984
Amendola,1 984
De gregorio,1 982
Gervasi,1 982
De carlo,1 981
De felice,1 980
Bonacini,1 980
Di paola,1 979
Modica,1 978
Paladini,1 978
Signorini,1 978
La porta,1 975
Mastroianni,1 974
Maldini,1 974
De pasquale,1 972
Strano,1 972
Crespi,1 970
Nicola,1 968
Zini,1 967
Pasotti,1 966
Sini,1 965
Michelini,1 963
Ambrosini,1 963
Marangoni,1 962
Martucci,1 960
Di santo,1 960
Formisano,1 959
Santoni,1 957
Altamura,1 956
Zanoni,1 956
Cinque,1 953
Barbi,1 952
Micheletti,1 951
Ferrarese,1 950
Mirabella,1 949
Peri,1 949
Paolucci,1 948
De sanctis,1 948
Invernizzi,1 946
Rusconi,1 945
Bianchetti,1 945
Alessio,1 944
Satta,1 943
Gotti,1 943
Platania,1 941
Nardone,1 941
Berlusconi,1 941
Bergamaschi,1 939
Bertocchi,1 935
Di fazio,1 935
Fogli,1 931
Gaeta,1 931
Bonanni,1 927
Amati,1 926
Piana,1 924
Guerrieri,1 922
Falchi,1 921
Calvi,1 919
Desantis,1 917
De carolis,1 917
Marciano,1 917
Luciano,1 917
Luci,1 916
Iovine,1 916
Lina,1 916
Paladino,1 915
Rotondi,1 915
Accorsi,1 915
Ledda,1 913
Montalto,1 913
Locci,1 907
Lauri,1 907
Sensi,1 907
Mulas,1 904
Fernandez,1 904
Ripamonti,1 903
Solinas,1 901
Ugolini,1 900
Baggio,1 900
Raimondo,1 899
Venditti,1 898
Tartaglia,1 896
Sannino,1 896
Cola,1 896
Santarelli,1 894
Lauria,1 894
Testi,1 894
Pennisi,1 893
D antonio,1 890
Forlani,1 887
Balzano,1 887
Tiberi,1 887
Secchi,1 886
Bongiovanni,1 886
Cavagna,1 885
Guerriero,1 883
Aliberti,1 882
Breda,1 880
Mainardi,1 880
Geraci,1 879
Cucchi,1 878
Torrisi,1 877
Peroni,1 876
Sessa,1 875
Fantozzi,1 873
Marzi,1 872
Nardini,1 870
Corda,1 870
Petrini,1 868
Pedrotti,1 867
Mucci,1 867
Novello,1 867
Atzeni,1 867
Di bari,1 866
Noto,1 865
Cella,1 863
Penna,1 862
Sciamanna,1 862
Cabras,1 861
Bibi,1 860
Pollini,1 859
Mazzanti,1 859
De maria,1 856
Gagliano,1 854
Cardillo,1 854
Milo,1 854
Vicari,1 854
Roversi,1 853
Canu,1 852
Perla,1 851
Travaglini,1 850
Pasticcio,1 849
Borriello,1 845
Trombetta,1 844
Ridolfi,1 841
Porro,1 839
Argiolas,1 838
Agosti,1 838
D urso,1 838
Chiarini,1 837
Piacentini,1 833
Marcello,1 833
Longoni,1 832
Scotto,1 832
Montella,1 831
Fortuna,1 831
Bernini,1 831
Gabrielli,1 829
De bellis,1 828
Longobardi,1 828
Palazzi,1 827
Bianconi,1 826
